id,category,instruction_zh,instruction_en,text_zh,text_en,note,ref,sft,rl
Emotion 001,Emotion & Tone,请表现出超级开心和激动，声音要响亮。,"Speak with overwhelming joy and excitement, and raise your voice.",哇！这简直是完美的演出！太精彩了！再来一个！再来一个！,Wow! That was absolutely perfect! Brilliant! One more! One more!,,audio/emotion_001_ref.wav,audio/emotion_001_sft.wav,audio/emotion_001_rl.wav
Emotion 002,Emotion & Tone,请表现出狂怒和生气，语气要凶狠。,"Speak with fury and rage, in a menacing tone.",你居然敢背叛我？我把你当兄弟，你就是这么在背后捅我刀子的？！,"How dare you betray me? I treated you like a brother, and this is how you stab me in the back?!",,audio/emotion_002_ref.wav,audio/emotion_002_sft.wav,audio/emotion_002_rl.wav
Emotion 003,Emotion & Tone,请用愧疚哀伤的语气，表现出羞愧。,"Speak in a remorseful, sorrowful tone and sound ashamed.",对不起，都是我的错，是我一时糊涂才做出了这种事，我真的没脸见你了。,I’m sorry. It’s all my fault. I acted foolishly and did this terrible thing. I’m truly ashamed to face you.,,audio/emotion_003_ref.wav,audio/emotion_003_sft.wav,audio/emotion_003_rl.wav
Parameter 001,Acoustic Controls,语速慢一些，方便记录。,Speak at a slower pace for easy note-taking.,请记下这个电话号码，八七六五四三二一，重复一遍，八七六五四三二一。,"Please write down this phone number, eight seven six five four three two one. Repeat it: eight seven six five four three two one.",,audio/parameter_001_ref.wav,audio/parameter_001_sft.wav,audio/parameter_001_rl.wav
Parameter 002,Acoustic Controls,请用低沉的声音读出这段旁白。,Read this narration in a deep voice.,夜幕降临，这座城市露出了它狰狞的一面，罪恶在滋生。,"Night falls, and the city reveals its menacing side, where evil grows.",,audio/parameter_002_ref.wav,audio/parameter_002_sft.wav,audio/parameter_002_rl.wav
Parameter 003,Acoustic Controls,音量调低，表现出虚弱。,Lower your volume and sound weak.,医生，我感觉头好晕，浑身没力气，我是不是病了？,"Doctor, I feel dizzy and completely exhausted. Am I sick?",,audio/parameter_003_ref.wav,audio/parameter_003_sft.wav,audio/parameter_003_rl.wav
Style 001,Speaking Style,请用自然对话的风格，带着一点散漫的感觉。,Speak in a natural conversational style with a laid-back vibe.,吃完饭去公园溜达一圈吧，吹吹晚风，消消食，反正也没什么急事。,"Let’s take a stroll in the park after dinner, enjoy the evening breeze and aid digestion. We don’t have anything urgent anyway.",,audio/style_001_ref.wav,audio/style_001_sft.wav,audio/style_001_rl.wav
Style 002,Speaking Style,请用社交亲昵的口吻，轻声细语地表达关心。,"Speak in an affectionate, gentle tone and express your concern softly.",是不是累坏了？快躺下休息会儿，我给你揉揉肩，放松一下。,Are you worn out? Lie down and rest for a while. Let me rub your shoulders to help you relax.,,audio/style_002_ref.wav,audio/style_002_sft.wav,audio/style_002_rl.wav
Style 003,Speaking Style,请用绘本故事的风格，生动地进行角色塑造。,Read in a picture-book story style with vivid character portrayal.,小兔子瞪大了眼睛，竖起耳朵说：“大灰狼来啦！大家快跑呀，快躲起来！”,"The little rabbit widened its eyes, pricked up its ears and shouted: The big bad wolf is coming! Run everyone! Hide quickly!",,audio/style_003_ref.wav,audio/style_003_sft.wav,audio/style_003_rl.wav
Dialect 001,Dialects & Accents,用四川话读一下这段关于大熊猫的文本。,Read this text about giant pandas in Sichuan dialect.,去基地看大熊猫，那些滚滚圆嘟嘟的，吃竹子的样子简直萌翻了，太可爱了。,Go to the base to see the giant pandas. Those round and fluffy cuties look absolutely adorable when they eat bamboo. They are so lovely.,,audio/dialect_001_ref.wav,audio/dialect_001_sft.wav,audio/dialect_001_rl.wav
